Component,Sep_2025,Oct_2025,Nov_2025,Dec_2025,Jan_2026,Feb_2026,Mar_2026,Q2_2026,Q3_2026,Q4_2026
Nebula_Revenue_Actual,0.0,0.6,1.1,0.5,0.5,0.7,0.4,1.7,1.5,3.7
Disclosure_Revenue_Actual,0.0,0.0,0.0,0.0,0.0,0.3,1.3,12.1,41.6,50.0
Lingua_Revenue_Actual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,65.2
Total_Revenue_Actual,0.0,0.6,1.1,0.5,0.5,0.9,1.7,13.8,58.3,118.9
Total_Costs,66.2,81.2,96.9,113.3,126.7,140.5,155.3,447.0,489.4,539.8
Total_Sources,140.0,30.0,30.0,180.0,25.0,25.0,225.0,275.0,75.0,875.0
Total_Uses,73.2,92.2,114.9,141.3,154.7,170.5,190.3,538.0,596.4,664.8
